,,,,,,,,,Hs_Own,P-List,P_PLow,Ck_Finish,Frq_Cking,Red_Int,TL_Red_Int,Int_CK_Finsh,Frq_PP,PcVmoney,Ef_FdW_Env,Wcost.mney_Me,Fd_Nwsted,R_Fd_Resp,Fd_Nwst_HH,Wst_Guilt,RB_Fd_Nwst,FdW_Avd,R_FdW_Bdt,E_Lftover,Av-Price,hs2,Wst_Guilt_2,Red_Int_2,Frq_FdW,Self-Reported,Direct Weighed
HFIMI,HFS_ADLT,FDW,Gen_Hed,Age-Hed,Edu_Hed,Marital_Hed,HH_Size,Income_Hed,Hs_Own,P-List,P_PLow,Cook_fn,Cook_frq,Redc_Int,TL_Redc_int,Int_Cook_fn,Purch_frq,PV_Money,Eff_Env,Cost_mny,Fd_nt_sted,Redc_Resp,Fd_nt_hh,Fl_guilt,Rzd.b_Nw,FdW_Avd,Rdc_Bdt,Eat_lftv,Av-Price,hs2,Wst_Guilt_2,Red_Int_2,Frq_FdW,Self_rp,Direct_wd
0.557152,0.180893506,3,1,60,7,1,4,2,1,2,4,2,3,3,1,2,4,2,2,1,3,2,3,1,3,3,1,1,7000,4,0,1,1,0.015,0.1278
0.5661004,0.12750009,2,0,40,11,0,5,2,1,0,1,1,2,3,1,1,7,1,1,1,3,2,0,2,2,2,1,1,3000,5,0,1,3,0.033,0.056
0.5974011,0.216449674,7,1,37,14,1,5,2,1,2,3,1,3,4,2,3,5,1,1,1,2,2,4,4,2,2,3,1,5000,3,1,1,1,0.01,0.0418
0.6705377,0.184213654,1,1,32,7,1,3,1,1,1,3,2,3,3,2,3,4,1,1,0,2,1,1,0,1,4,3,0,5000,4,0,1,2,0.022,0.1084
0.7561638,0.859277045,2,0,34,10,0,1,1,1,0,2,2,2,2,2,3,3,0,1,1,2,3,2,1,2,4,3,0,2000,1,0,0,2,0.02,0.546
0.5709574,0.156856429,8,1,22,11,1,2,1,1,0,1,2,3,3,3,2,5,2,2,1,3,2,2,2,1,2,4,1,5000,4,1,1,1,0.023,0.0946
0.625109,0.256192213,2,1,43,10,1,4,1,1,2,4,2,3,3,2,2,7,2,1,0,3,2,1,0,4,2,4,1,3000,3,1,1,2,0.004,0.0826
0.621926,0.160290206,8,0,67,9,0,4,1,1,2,1,2,2,3,2,4,3,1,2,1,3,0,1,1,1,3,1,0,5000,5,0,1,2,0.016,0.083
0.7148436,0.150177227,7,1,27,11,1,5,1,1,2,1,1,3,3,3,2,4,0,1,1,3,2,0,1,2,3,1,1,5000,5,0,1,2,0.024,0.1118
0.5900422,0.223500833,1,1,25,12,1,2,1,0,2,2,2,3,3,1,3,6,1,2,1,2,3,3,1,2,2,3,1,3000,3,0,1,2,0.022,0.0692
